Source,Target,Type,Id,Label,timeset,Weight
126450910743068,438666082895800,Directed,51,,,1
126450910743068,262797673919596,Directed,52,,,1
126450910743068,651746891549319,Directed,53,,,1
126450910743068,10675081307,Directed,54,,,1
126450910743068,242961242501087,Directed,55,,,1
126450910743068,124008791000088,Directed,56,,,1
126450910743068,160764157371498,Directed,57,,,1
126450910743068,261660823858377,Directed,58,,,1
126450910743068,293220964066110,Directed,59,,,1
126450910743068,326719157533529,Directed,60,,,1
126450910743068,238368012902228,Directed,61,,,1
126450910743068,168505733291331,Directed,62,,,1
126450910743068,123843407779700,Directed,63,,,1
126450910743068,558686477511502,Directed,64,,,1
126450910743068,425077137600423,Directed,65,,,1
126450910743068,334665666667030,Directed,66,,,1
126450910743068,81174647292,Directed,67,,,1
126450910743068,106661462736035,Directed,68,,,1
126450910743068,185914954790122,Directed,69,,,1
126450910743068,455302404484122,Directed,70,,,1
126450910743068,180981105390627,Directed,71,,,1
126450910743068,270722486331943,Directed,72,,,1
126450910743068,118316431545225,Directed,73,,,1
126450910743068,517701968335175,Directed,74,,,1
126450910743068,145661615452159,Directed,75,,,1
126450910743068,164561860226839,Directed,76,,,1
126450910743068,1393875997536100,Directed,77,,,1
126450910743068,1458628031024364,Directed,78,,,1
126450910743068,447557968624006,Directed,79,,,1
126450910743068,57466576449,Directed,80,,,1
126450910743068,1422144111347618,Directed,81,,,1
126450910743068,110258935668204,Directed,82,,,1
126450910743068,122546285496,Directed,83,,,1
126450910743068,487057484710122,Directed,84,,,1
126450910743068,260658197440278,Directed,85,,,1
126450910743068,233496120151869,Directed,86,,,1
126450910743068,311865825370,Directed,87,,,1
126450910743068,171723049615001,Directed,88,,,1
126450910743068,121139574629636,Directed,89,,,1
126450910743068,103331193141294,Directed,90,,,1
126450910743068,377392275725373,Directed,91,,,1
126450910743068,550744801619236,Directed,92,,,1
126450910743068,1388069658090312,Directed,93,,,1
126450910743068,107369075998240,Directed,94,,,1
126450910743068,170631473120700,Directed,95,,,1
126450910743068,152642552902,Directed,96,,,1
126450910743068,396969697034357,Directed,97,,,1
126450910743068,171280749364,Directed,98,,,1
126450910743068,148349507804,Directed,99,,,1
126450910743068,14302129065,Directed,100,,,1
126450910743068,531169226939488,Directed,101,,,1
126450910743068,201698999851422,Directed,102,,,1
126450910743068,254250644684216,Directed,103,,,1
126450910743068,81679398478,Directed,104,,,1
126450910743068,123633531001777,Directed,105,,,1
126450910743068,488989281142595,Directed,106,,,1
126450910743068,187289201341497,Directed,107,,,1
126450910743068,233717086763405,Directed,108,,,1
126450910743068,208782005831922,Directed,109,,,1
126450910743068,561885977196082,Directed,110,,,1
126450910743068,671093102916100,Directed,111,,,1
126450910743068,102623655016,Directed,112,,,1
126450910743068,40360933216,Directed,113,,,1
126450910743068,35106632719,Directed,114,,,1
126450910743068,221864415555,Directed,115,,,1
126450910743068,146040298774725,Directed,116,,,1
126450910743068,130379783504,Directed,117,,,1
126450910743068,218449254862870,Directed,118,,,1
126450910743068,207744539290381,Directed,119,,,1
126450910743068,162148900775,Directed,120,,,1
62260589592,315077935194478,Directed,121,,,1
62260589592,277389319742,Directed,122,,,1
62260589592,108910425816126,Directed,123,,,1
62260589592,108563442514627,Directed,124,,,1
62260589592,97041406678,Directed,125,,,1
97041406678,1749076975337065,Directed,126,,,1
97041406678,213274742018085,Directed,127,,,1
97041406678,89146619663,Directed,128,,,1
97041406678,245426415493484,Directed,129,,,1
97041406678,187013059865,Directed,130,,,1
97041406678,350024555144315,Directed,131,,,1
97041406678,108563442514627,Directed,132,,,1
97041406678,322412097850538,Directed,133,,,1
97041406678,1438604439718519,Directed,134,,,1
97041406678,111036072275150,Directed,135,,,1
97041406678,110505255635707,Directed,136,,,1
97041406678,108910425816126,Directed,137,,,1
97041406678,62260589592,Directed,138,,,1
97041406678,78522143212,Directed,139,,,1
14302129065,179562315893006,Directed,140,,,1
14302129065,182236035192216,Directed,141,,,1
14302129065,1597659560553215,Directed,142,,,1
14302129065,1794731260742414,Directed,143,,,1
14302129065,127030877316644,Directed,144,,,1
14302129065,130180763686565,Directed,145,,,1
14302129065,470933219592244,Directed,146,,,1
14302129065,266730506675570,Directed,147,,,1
14302129065,126426617306,Directed,148,,,1
14302129065,364952298734,Directed,149,,,1
14302129065,51955958533,Directed,150,,,1
14302129065,34526043062,Directed,151,,,1
148349507804,298847246887863,Directed,152,,,1
148349507804,870527656350638,Directed,153,,,1
148349507804,31790012966,Directed,154,,,1
148349507804,13062429163,Directed,155,,,1
148349507804,137828846250783,Directed,156,,,1
148349507804,126862714087148,Directed,157,,,1
148349507804,16559501177,Directed,158,,,1
148349507804,268002449983847,Directed,159,,,1
148349507804,471240562977608,Directed,160,,,1
148349507804,6250307292,Directed,161,,,1
148349507804,197366683625688,Directed,162,,,1
148349507804,238238826282196,Directed,163,,,1
148349507804,310528472415350,Directed,164,,,1
148349507804,413225412022474,Directed,165,,,1
148349507804,99109427641,Directed,166,,,1
148349507804,26399672578,Directed,167,,,1
148349507804,137510846272686,Directed,168,,,1
148349507804,373183779384701,Directed,169,,,1
148349507804,186676354713214,Directed,170,,,1
148349507804,136305639827113,Directed,171,,,1
148349507804,174673405887258,Directed,172,,,1
148349507804,409547372452050,Directed,173,,,1
148349507804,122924687718543,Directed,174,,,1
148349507804,122362417781757,Directed,175,,,1
148349507804,117949204905262,Directed,176,,,1
148349507804,293220964066110,Directed,177,,,1
148349507804,150019795947,Directed,178,,,1
148349507804,257513290653,Directed,179,,,1
148349507804,243352355758573,Directed,180,,,1
148349507804,261001683972731,Directed,181,,,1
148349507804,216439283312,Directed,182,,,1
148349507804,181119939152,Directed,183,,,1
148349507804,293781023993386,Directed,184,,,1
148349507804,547325871981471,Directed,185,,,1
148349507804,100355313370538,Directed,186,,,1
148349507804,156874494863,Directed,187,,,1
148349507804,251673968209889,Directed,188,,,1
148349507804,151362154883667,Directed,189,,,1
148349507804,220591174442,Directed,190,,,1
148349507804,209539035765518,Directed,191,,,1
148349507804,228863717129510,Directed,192,,,1
148349507804,121462904591649,Directed,193,,,1
148349507804,174830055888739,Directed,194,,,1
148349507804,23497828950,Directed,195,,,1
148349507804,153194306605,Directed,196,,,1
148349507804,104516191689,Directed,197,,,1
148349507804,281595673240,Directed,198,,,1
148349507804,43117192326,Directed,199,,,1
148349507804,83065559474,Directed,200,,,1
148349507804,128307602590,Directed,201,,,1
148349507804,87384950094,Directed,202,,,1
148349507804,30250538961,Directed,203,,,1
274992429193756,242859757551,Directed,204,,,1
274992429193756,1099667270064879,Directed,205,,,1
274992429193756,144494645722850,Directed,206,,,1
274992429193756,1471695506485858,Directed,207,,,1
274992429193756,224376294396507,Directed,208,,,1
274992429193756,1429738763983023,Directed,209,,,1
274992429193756,543080605769287,Directed,210,,,1
274992429193756,1432706033698293,Directed,211,,,1
274992429193756,1421190264772690,Directed,212,,,1
274992429193756,359042220838699,Directed,213,,,1
274992429193756,415830391889166,Directed,214,,,1
274992429193756,107880289244796,Directed,215,,,1
274992429193756,739241739447000,Directed,216,,,1
274992429193756,442580419160318,Directed,217,,,1
274992429193756,1445209502398453,Directed,218,,,1
274992429193756,587100441378081,Directed,219,,,1
274992429193756,130684946959309,Directed,220,,,1
274992429193756,140261829437155,Directed,221,,,1
274992429193756,463250697028789,Directed,222,,,1
274992429193756,104458723077298,Directed,223,,,1
274992429193756,100186046779162,Directed,224,,,1
274992429193756,105140819592874,Directed,225,,,1
274992429193756,114115315337739,Directed,226,,,1
274992429193756,226292350758981,Directed,227,,,1
274992429193756,596964027002589,Directed,228,,,1
274992429193756,206088086251467,Directed,229,,,1
274992429193756,191289650948825,Directed,230,,,1
274992429193756,238669429644724,Directed,231,,,1
274992429193756,521456841266240,Directed,232,,,1
274992429193756,107967132666842,Directed,233,,,1
274992429193756,256044471099295,Directed,234,,,1
274992429193756,159764164040161,Directed,235,,,1
274992429193756,361791060616938,Directed,236,,,1
274992429193756,410837459022513,Directed,237,,,1
274992429193756,124200474393063,Directed,238,,,1
274992429193756,223168544506227,Directed,239,,,1
274992429193756,387729587997469,Directed,240,,,1
274992429193756,290539771077028,Directed,241,,,1
274992429193756,414382672024263,Directed,242,,,1
274992429193756,611512508869515,Directed,243,,,1
274992429193756,186648548104419,Directed,244,,,1
274992429193756,416458641715558,Directed,245,,,1
274992429193756,186232664870032,Directed,246,,,1
274992429193756,612291142146684,Directed,247,,,1
274992429193756,523095624441232,Directed,248,,,1
274992429193756,590846014308895,Directed,249,,,1
274992429193756,136754833058809,Directed,250,,,1
274992429193756,631311030217900,Directed,251,,,1
274992429193756,346730152065281,Directed,252,,,1
274992429193756,546782255345486,Directed,253,,,1
274992429193756,449911195028060,Directed,254,,,1
274992429193756,232287230205457,Directed,255,,,1
274992429193756,260208470776861,Directed,256,,,1
274992429193756,275845552527106,Directed,257,,,1
