Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
107880289244796,University of the Andes,,,School,0,2125,0,no,https://www.facebook.com/pages/University-of-the-Andes/107880289244796
739241739447000,Bogotá Mini Maker Faire,,makerfairebogota,Organization,0.01,1430,2,yes,https://www.facebook.com/makerfairebogota/
442580419160318,Happy Lab,,HappyLabColombia,Organization,0,537,8,yes,https://www.facebook.com/HappyLabColombia/
1445209502398453,Bici-Externado,,BiciExternado,Community,0,908,1,yes,https://www.facebook.com/BiciExternado/
587100441378081,Movilidad Activa,,moviactiva,Nonprofit Organization,0,397,0,yes,https://www.facebook.com/moviactiva/
130684946959309,SydneyCycleways,,sydneycycleways,Government Organization,0.04,26827,98,yes,https://www.facebook.com/sydneycycleways/
140261829437155,BiciQuito,,BiciQuito,Government Organization,0.19,8050,269,yes,https://www.facebook.com/BiciQuito/
463250697028789,Pedalea Por Bogotá,,PedaleaPorBogota,Community,0,6051,1,yes,https://www.facebook.com/PedaleaPorBogota/
104458723077298,Krost Bakery,,krostbakery,Restaurant,0.01,2182,44,yes,https://www.facebook.com/krostbakery/
100186046779162,Bici Cultura Tadeista,,BiciculturaTadeista,Organization,0.02,2012,5,yes,https://www.facebook.com/BiciculturaTadeista/
105140819592874,Páramo Savers,,ParamoSavers,Nonprofit Organization,0.01,1441,8,yes,https://www.facebook.com/ParamoSavers/
114115315337739,IDRD,,IDRDBogota,Government Organization,0.16,27947,1857,yes,https://www.facebook.com/IDRDBogota/
226292350758981,Rent a bike Uruguay alquiler de bicicletas,,,Travel Company,0,126,0,yes,https://www.facebook.com/Rent-a-bike-Uruguay-alquiler-de-bicicletas-226292350758981/
596964027002589,Botanik,,botanikbogota,Garden Center,0,14765,7,yes,https://www.facebook.com/botanikbogota/
206088086251467,Bici Pancho,,bicipancho2014,Food Truck,0,443,0,yes,https://www.facebook.com/bicipancho2014/
191289650948825,Le Capra,,lecapra,Camera/Photo,0,3527,3,yes,https://www.facebook.com/lecapra/
238669429644724,Hamburguesas Veganosaurias,,veganosaurias,Kitchen/Cooking,0.01,2219,5,yes,https://www.facebook.com/veganosaurias/
521456841266240,benévolo - paletas artesanales,,benevolopaletas,Grocery Store,0.01,1596,4,no,https://www.facebook.com/benevolopaletas/
107967132666842,Classy Bikes Company,,ClassyBikes,Arts & Entertainment,0,15387,29,yes,https://www.facebook.com/ClassyBikes/
256044471099295,EnCicla,,encicla,Community,0.06,20765,109,no,https://www.facebook.com/encicla/
159764164040161,ENTER.CO,,ENTER.CO,Broadcasting & Media Production Company,1.03,136412,3714,yes,https://www.facebook.com/ENTER.CO/
361791060616938,Creatorio.co,,creatorio.co,Company,0.04,3314,49,yes,https://www.facebook.com/creatorio.co/
410837459022513,Bikelo,,bikelo,Community,0,676,0,yes,https://www.facebook.com/bikelo/
124200474393063,Bici-Navegantes Villavicencio,,Bicinavegantes,Community,0.03,14763,734,yes,https://www.facebook.com/Bicinavegantes/
223168544506227,BOOM // Bicycle Movement,,BOOMBicycleMovement,Organization,0.01,1436,20,yes,https://www.facebook.com/BOOMBicycleMovement/
387729587997469,QUE RUEDE La BICI,,queruedelabici,Community,0.03,1424,14,yes,https://www.facebook.com/queruedelabici/
290539771077028,Revista El Bicitante,,revistaelbicitante,Magazine,0.05,33122,340,yes,https://www.facebook.com/revistaelbicitante/
414382672024263,Todos La Rodamos,,larodamostodos,Community,0,264,1,yes,https://www.facebook.com/larodamostodos/
611512508869515,Bición,,labicion,Community,0,4692,2,yes,https://www.facebook.com/labicion/
186648548104419,Periódico En D(e)uda,,EnDeuda,Media/News Company,0.01,878,2,yes,https://www.facebook.com/EnDeuda/
416458641715558,Ciclaramanga,,Ciclaramanga,Non-Governmental Organization (NGO),0.05,13443,136,yes,https://www.facebook.com/Ciclaramanga/
186232664870032,La Gran Rodada,,LaGranRodada,Community,0.01,14310,55,yes,https://www.facebook.com/LaGranRodada/
612291142146684,Bikennedy Bogota,,bikennedybogota,Community,0.07,7427,294,yes,https://www.facebook.com/bikennedybogota/
